"Mun US Noti MG","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Total"
"312310 Dores de Guanhães",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"312320 Dores do Indaiá",17,25,12,26,38,29,16,49,29,26,39,26,9,10,2,1,0,1,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,361
"312330 Dores do Turvo",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,1,2,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"312340 Doresópolis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"312350 Douradoquara",0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,6,6,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"312352 Durandé",0,1,0,3,2,1,0,2,0,1,0,3,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21
"312360 Elói Mendes",1,1,1,0,3,1,2,3,3,9,18,10,19,13,7,26,6,13,21,6,15,5,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,195
"312370 Engenheiro Caldas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,4,2,12
"312380 Engenheiro Navarro",0,0,3,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"312385 Entre Folhas",0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"312390 Entre Rios de Minas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"312400 Ervália",0,0,0,0,1,2,0,2,2,0,1,2,1,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,19
"312410 Esmeraldas",0,0,1,0,0,1,1,2,0,0,0,0,2,0,1,1,0,0,0,0,0,1,3,8,7,0,2,5,4,2,6,5,13,5,10,5,9,18,4,6,1,0,123
"312420 Espera Feliz",1,3,2,1,5,4,1,1,0,0,1,0,7,13,4,4,4,5,3,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,2,0,1,0,0,0,0,0,70
"312430 Espinosa",1,14,17,24,40,52,48,65,91,55,40,58,26,18,22,11,11,1,4,5,2,2,4,4,1,1,0,1,0,3,1,0,0,2,1,0,0,0,0,0,3,0,628
"312440 Espírito Santo do Dourado",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
"312450 Estiva",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"312460 Estrela Dalva",0,0,0,0,0,0,0,0,0,0,2,2,5,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"312470 Estrela do Indaiá",0,0,2,0,0,0,0,2,1,4,2,4,5,2,1,1,4,1,1,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,36
"312480 Estrela do Sul",0,0,0,1,0,4,0,0,0,0,2,1,0,0,2,1,0,2,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"312490 Eugenópolis",0,0,0,0,25,18,24,25,16,14,8,2,3,6,0,11,13,25,18,5,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,226
"312500 Ewbank da Câmara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"312510 Extrema",0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"312520 Fama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"312530 Faria Lemos",0,2,4,21,17,5,1,6,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
"312540 Felício dos Santos",0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"312560 Felisburgo",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"312570 Felixlândia",1,1,1,1,3,0,4,1,2,3,2,2,3,1,0,0,1,1,4,0,1,0,2,1,0,0,0,0,0,0,1,1,0,1,0,2,0,1,2,0,2,1,46
"312580 Fernandes Tourinho",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"312590 Ferros",0,4,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2,2,1,21
"312595 Fervedouro",0,3,0,0,2,2,13,10,1,4,2,7,1,9,6,3,2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76
"312600 Florestal",0,6,1,0,3,0,0,0,0,3,3,3,4,4,1,2,5,0,2,0,1,0,1,3,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,48
"312610 Formiga",0,0,1,0,2,14,22,18,20,22,27,24,16,31,12,19,26,25,28,36,20,12,8,10,4,3,5,5,6,3,2,4,2,6,8,2,5,8,2,8,0,0,466
"312620 Formoso",2,0,1,0,1,2,2,2,7,6,6,1,0,1,0,0,2,0,2,0,1,0,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
"312630 Fortaleza de Minas",0,0,0,0,1,0,2,2,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"312640 Fortuna de Minas",0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"312650 Francisco Badaró",3,12,14,14,17,21,9,7,3,0,3,5,6,5,3,2,3,3,2,2,2,6,7,5,6,4,11,18,14,10,13,8,11,9,12,14,5,3,5,5,6,3,311
"312660 Francisco Dumont",0,0,2,3,2,3,3,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"312670 Francisco Sá",0,2,0,2,0,3,1,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,4,0,1,0,1,0,1,0,0,0,1,0,1,0,4,0,0,0,0,27
"312675 Franciscópolis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"312680 Frei Gaspar",0,0,1,0,0,0,0,1,2,4,3,1,3,1,1,0,2,1,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
