"Mun US Noti MG","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Total"
"314130 Medeiros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"314140 Medina",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"314150 Mendes Pimentel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"314160 Mercês",0,0,0,0,0,0,0,0,1,0,1,0,1,3,4,5,6,2,6,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35
"314170 Mesquita",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,3
"314180 Minas Novas",0,1,2,1,2,1,1,1,1,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,0,22
"314190 Minduri",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"314200 Mirabela",0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,13
"314210 Miradouro",0,0,22,40,22,20,26,34,13,4,5,5,2,7,8,6,7,9,11,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
"314220 Miraí",0,0,0,0,0,0,2,0,1,1,2,5,12,5,1,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36
"314225 Miravânia",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"314230 Moeda",0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8
"314240 Moema",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,7
"314250 Monjolos",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"314260 Monsenhor Paulo",5,3,1,0,2,2,1,2,0,0,3,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"314270 Montalvânia",0,0,0,0,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,13
"314280 Monte Alegre de Minas",0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,1,0,1,4,1,1,1,3,0,0,2,2,1,0,0,1,0,1,1,2,2,0,0,0,0,0,0,29
"314290 Monte Azul",0,4,2,4,5,4,5,3,5,1,1,5,6,6,7,3,2,1,3,2,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,75
"314300 Monte Belo",0,0,0,0,0,1,0,2,1,0,1,2,0,1,1,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,28
"314310 Monte Carmelo",0,0,0,1,1,10,2,6,13,19,23,17,28,18,27,18,26,46,52,71,66,28,51,46,18,9,7,7,4,6,8,2,2,1,0,0,0,0,0,0,0,0,633
"314315 Monte Formoso",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"314320 Monte Santo de Minas",0,0,0,1,4,8,9,3,17,19,8,19,20,11,30,23,18,27,13,10,9,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,4,3,269
"314340 Monte Sião",0,1,3,5,3,0,0,2,4,5,6,5,5,7,3,7,4,3,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
"314330 Montes Claros",11,4,11,17,13,12,14,19,9,8,19,18,14,15,7,10,12,8,10,13,10,7,10,8,6,9,3,10,10,9,5,7,13,18,12,48,38,30,34,24,30,17,602
"314345 Montezuma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"314350 Morada Nova de Minas",0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"314360 Morro da Garça",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"314370 Morro do Pilar",0,0,1,0,0,0,0,1,1,1,3,1,2,1,1,12,14,9,22,10,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,118
"314380 Munhoz",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"314390 Muriaé",25,36,52,85,92,125,171,187,134,39,61,53,74,50,49,38,42,41,48,22,22,22,13,11,3,10,8,2,0,1,5,2,3,3,3,5,4,12,11,11,7,0,1582
"314400 Mutum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"314410 Muzambinho",0,0,0,0,1,0,2,1,1,4,3,3,5,3,6,0,6,3,5,2,7,3,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61
"314420 Nacip Raydan",0,0,0,0,0,0,0,0,1,0,0,0,9,24,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56
"314430 Nanuque",1,0,2,1,2,2,0,4,3,2,2,1,2,0,5,1,4,0,0,3,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"314435 Naque",0,0,2,3,2,0,2,8,13,8,7,4,2,1,1,1,5,6,0,1,3,7,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,84
"314437 Natalândia",0,2,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"314440 Natércia",0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
"314450 Nazareno",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"314460 Nepomuceno",1,3,0,2,4,1,5,2,3,1,6,4,1,0,2,3,3,2,2,3,3,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,3,10,0,0,72
"314465 Ninheira",0,0,3,8,0,8,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"314467 Nova Belém",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"314470 Nova Era",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"314480 Nova Lima",6,17,16,15,28,22,16,20,26,10,29,40,26,43,40,50,46,48,31,26,15,16,20,12,10,9,8,5,7,6,3,10,2,1,5,6,16,18,27,18,13,7,789
"314490 Nova Módica",0,0,1,0,0,0,1,5,4,3,4,2,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34
"314500 Nova Ponte",1,1,5,10,6,5,7,20,9,3,16,1,0,5,13,10,0,2,3,8,8,5,2,4,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,151
"314505 Nova Porteirinha",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"314510 Nova Resende",2,0,3,0,1,0,3,4,0,3,3,0,1,2,3,0,7,3,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"314520 Nova Serrana",2,8,15,16,6,54,57,117,100,48,63,96,149,109,104,55,57,37,75,73,68,80,47,57,47,38,4,19,9,16,7,6,20,8,6,9,17,19,14,12,9,13,1766
"313660 Nova União",0,0,0,0,2,0,3,4,0,3,3,1,3,4,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"314530 Novo Cruzeiro",0,0,0,0,0,0,0,0,1,1,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,4,0,20
"314535 Novo Oriente de Minas",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"314537 Novorizonte",1,3,2,5,3,3,1,3,0,0,1,2,2,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"314540 Olaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"314545 Olhos-d'Água",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"314550 Olímpio Noronha",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"314560 Oliveira",1,1,0,1,0,4,4,1,7,1,1,4,14,4,4,3,4,1,1,5,4,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,70
"314570 Oliveira Fortes",0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"314580 Onça de Pitangui",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"314585 Oratórios",0,0,0,0,0,0,5,1,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"314587 Orizânia",0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"314590 Ouro Branco",11,14,19,14,16,25,22,19,2,7,9,13,14,13,19,29,26,20,15,13,11,9,2,4,7,4,3,1,1,2,1,2,2,1,1,6,6,5,12,23,17,6,446
"314600 Ouro Fino",0,1,4,0,0,2,3,3,8,10,4,10,12,7,0,0,4,9,3,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,90
"314610 Ouro Preto",0,8,4,0,4,2,4,7,2,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,43
"314620 Ouro Verde de Minas",0,0,2,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
"314625 Padre Carvalho",0,0,1,1,3,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"314630 Padre Paraíso",0,0,2,4,0,0,0,3,2,1,2,0,4,2,2,2,2,2,1,1,2,2,3,1,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,44
"314655 Pai Pedro",1,9,4,13,20,7,12,7,14,4,7,7,2,1,0,0,1,0,0,0,1,1,0,1,2,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0,120
"314640 Paineiras",0,2,2,0,1,0,0,0,0,0,0,0,0,2,1,0,2,0,2,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"314650 Pains",0,2,5,7,14,9,20,18,3,5,7,4,1,2,3,1,2,6,5,6,2,2,1,4,1,1,0,0,0,0,0,0,2,1,0,1,1,0,3,3,3,0,145
"314660 Paiva",0,2,2,2,1,2,0,0,0,0,2,3,3,2,1,1,1,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,29
"314670 Palma",0,0,0,0,5,5,4,6,2,0,1,1,3,0,2,1,1,0,1,2,2,6,0,0,3,0,3,1,0,0,0,2,1,1,2,0,0,3,2,5,1,2,68
"314675 Palmópolis",0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
"314690 Papagaios",1,0,0,1,0,0,1,1,2,0,1,3,6,18,9,14,12,17,16,6,17,5,5,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,147
"314710 Pará de Minas",3,3,1,3,0,4,3,2,0,1,3,5,1,7,8,7,6,4,4,2,3,2,2,3,2,1,1,1,2,1,0,0,1,0,1,2,2,2,2,5,20,8,128
"314700 Paracatu",0,1,3,5,2,2,6,7,6,2,10,5,4,6,6,3,4,2,4,3,3,2,3,1,1,0,2,1,0,2,3,2,0,1,1,0,0,1,4,1,0,0,109
"314720 Paraguaçu",0,0,1,0,0,0,1,0,0,2,2,0,2,0,2,3,2,6,2,5,1,1,3,2,2,3,1,3,0,1,1,0,0,0,0,0,1,0,0,1,0,0,48
"314730 Paraisópolis",0,0,0,0,0,0,0,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"314740 Paraopeba",0,0,0,0,1,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11
"314760 Passa Quatro",0,2,0,0,1,0,0,0,0,0,0,2,2,4,6,9,9,20,7,1,4,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75
"314770 Passa Tempo",0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
"314780 Passa Vinte",0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,2,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,14
"314750 Passabém",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"314790 Passos",17,49,66,59,80,41,64,63,56,54,74,42,66,47,58,30,60,45,54,26,19,31,15,24,14,21,12,14,15,8,5,3,11,6,10,16,5,15,13,25,35,22,1390
"314795 Patis",0,0,0,0,1,0,0,1,1,0,1,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"314800 Patos de Minas",9,35,44,43,61,35,64,61,120,43,68,97,52,61,72,64,59,64,72,84,64,74,11,8,17,7,4,2,20,4,3,6,2,8,7,3,19,21,26,30,18,16,1578
"314810 Patrocínio",2,8,33,76,97,88,100,124,156,100,150,105,111,114,49,60,68,79,82,58,26,21,18,10,7,4,4,3,1,0,0,1,0,1,0,0,2,3,2,2,4,1,1770
"314820 Patrocínio do Muriaé",0,0,3,3,1,3,2,4,12,4,14,13,15,17,16,8,35,61,82,46,30,11,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393
"314830 Paula Cândido",0,0,0,0,1,2,8,4,2,2,0,0,0,4,2,2,2,0,2,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,44
"314840 Paulistas",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"314850 Pavão",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7
"314860 Peçanha",0,0,0,1,1,2,4,1,6,3,11,14,8,5,1,6,2,0,2,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,83
"314870 Pedra Azul",0,0,0,0,0,0,0,0,4,0,1,0,1,0,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14
"314875 Pedra Bonita",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"314880 Pedra do Anta",0,0,0,0,1,1,2,0,0,2,9,1,3,2,0,9,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"314890 Pedra do Indaiá",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
"314900 Pedra Dourada",0,0,0,1,0,2,0,0,2,0,1,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"314910 Pedralva",0,2,1,0,0,0,0,0,2,1,1,0,1,0,0,1,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"314915 Pedras de Maria da Cruz",0,1,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"314920 Pedrinópolis",0,0,0,0,2,0,2,3,0,0,1,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"314930 Pedro Leopoldo",6,2,6,5,18,4,7,4,0,5,6,5,7,6,4,3,3,8,2,2,2,1,1,2,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,2,4,121
"314940 Pedro Teixeira",0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"314950 Pequeri",0,2,4,0,0,2,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15
"314960 Pequi",0,1,0,0,0,0,1,1,1,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"314970 Perdigão",1,1,0,0,15,7,3,6,6,6,6,5,1,6,1,5,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,78
"314980 Perdizes",0,0,0,0,0,5,4,0,1,5,2,8,3,11,9,10,8,12,20,6,18,8,7,5,0,3,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,151
"314990 Perdões",0,0,3,1,0,1,0,2,1,2,0,2,1,1,3,5,6,2,3,3,1,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44
"314995 Periquito",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3
"315000 Pescador",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"315010 Piau",1,3,1,4,0,4,3,1,3,2,3,1,5,2,3,2,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45
"315015 Piedade de Caratinga",0,0,0,6,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"315020 Piedade de Ponte Nova",0,1,0,1,1,4,0,0,0,1,1,1,1,2,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"315030 Piedade do Rio Grande",0,0,0,0,2,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9
"315040 Piedade dos Gerais",0,0,0,0,1,2,3,1,1,1,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"315050 Pimenta",0,0,1,0,4,1,3,2,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"315053 Pingo d'Água",0,1,2,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
"315057 Pintópolis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315060 Piracema",0,0,0,0,1,2,0,1,5,1,1,6,1,3,0,1,3,0,4,8,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,45
"315070 Pirajuba",0,0,1,3,1,4,10,15,13,16,40,31,29,23,26,17,12,5,17,10,7,6,7,5,2,1,0,2,4,2,1,0,0,0,2,3,0,2,0,0,0,1,318
"315080 Piranga",0,0,0,0,0,0,0,0,0,2,2,0,3,5,5,4,7,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"315090 Piranguçu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"315100 Piranguinho",0,0,0,0,1,1,3,3,1,0,0,0,0,0,0,0,0,1,2,4,1,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"315110 Pirapetinga",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"315120 Pirapora",1,1,1,1,3,5,1,0,0,1,2,1,2,4,0,2,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,34
"315130 Piraúba",0,8,11,45,47,43,37,38,18,6,19,11,17,10,8,0,5,2,6,4,2,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,344
"315140 Pitangui",1,5,4,2,3,2,5,5,6,4,4,8,0,4,5,6,4,8,9,2,0,0,2,1,2,0,1,0,1,1,4,0,3,2,5,1,0,10,6,3,6,6,141
"315150 Piuí",0,3,1,3,2,4,2,2,1,1,4,2,3,1,0,2,2,2,1,3,2,1,1,1,1,2,0,0,0,1,1,0,0,2,0,0,2,1,1,1,0,0,56
"315160 Planura",9,14,16,32,14,39,38,59,83,69,122,101,81,97,120,82,48,32,59,48,44,25,6,22,14,2,18,28,14,21,5,0,1,2,4,5,4,1,5,5,4,0,1393
"315170 Poço Fundo",0,1,0,0,0,0,2,0,3,7,10,26,9,23,36,23,20,12,25,19,6,6,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,237
"315180 Poços de Caldas",0,0,2,0,6,10,3,13,18,28,27,36,30,33,13,19,21,29,7,5,3,3,2,1,1,0,0,1,0,1,1,0,1,1,3,1,3,0,2,3,0,2,329
"315190 Pocrane",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"315200 Pompéu",0,2,2,1,0,2,3,2,0,1,5,2,2,4,0,2,1,6,3,1,0,3,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,48
"315210 Ponte Nova",31,57,69,78,97,122,160,171,163,146,236,160,200,181,155,105,115,112,84,76,60,34,32,22,8,12,7,6,2,2,5,5,2,6,0,4,6,8,7,3,17,6,2772
"315213 Ponto Chique",1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8
"315217 Ponto dos Volantes",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"315220 Porteirinha",0,1,1,0,3,4,2,2,3,3,2,2,3,0,2,0,3,1,0,1,1,3,1,0,0,1,0,0,1,0,1,1,0,0,3,2,0,1,1,0,0,0,49
"315230 Porto Firme",0,0,0,1,0,2,5,11,10,30,49,55,86,101,74,39,60,34,30,54,27,23,13,15,3,4,7,1,0,4,2,1,0,0,2,4,2,8,15,10,10,0,792
"315240 Poté",0,1,0,1,0,0,1,0,3,0,0,2,2,3,1,0,5,7,9,5,4,9,6,12,3,2,0,1,2,0,3,0,0,0,0,2,0,0,0,0,0,0,84
"315250 Pouso Alegre",0,5,2,4,3,5,16,46,51,68,78,92,126,102,115,127,133,105,97,84,56,71,107,72,14,3,5,2,0,0,3,1,1,0,2,12,3,1,4,10,11,0,1637
"315260 Pouso Alto",0,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,1,5,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"315270 Prados",0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"315280 Prata",0,13,24,10,100,32,28,28,25,1,3,7,29,18,16,28,33,43,55,95,77,82,71,57,33,15,21,1,22,5,2,1,6,1,4,13,2,3,3,2,5,0,1014
